Gene pairs|common Interactors|#PPI for first_partner_gene|#PPI for second_partner_gene|domain of first_partner_gene|domain of second_partner_gene|domain of fusions
KIF5B RET|{'MARK3', 'ARAF', 'MARK2', 'RAF1', 'TSC2', 'IGF1R', 'IKBKG', 'MAP3K5', 'PDPK1', 'WNK1', 'CBL', 'MAP3K7', 'NTRK1', 'PRKCZ', 'IRS2', 'MARK4', 'APP', 'MAP3K3', 'PRKCI', 'HSP90AB1', 'BMPR1B', 'SMAD2', 'BRAF', 'PRKAR2B', 'NTRK2'}|343|428|Kinesin_motor_domain, Kinesin_motor_region_conserved_site|Cadherin, Cadherin-like, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_Ret_receptor|Kinesin motor domain, Mrr N-terminal domain, Ezrin/radixin/moesin family, Protein tyrosine kinase, cGMP-dependent protein kinase interacting domain, Protein of unknown function (DUF3584), Autophagy protein 16 (ATG16), Reovirus sigma C capsid protein, HAUS augmin-like complex subunit 3, Leucine-rich repeats of kinetochore protein Cenp-F/LEK1, Integral membrane protein DUF106, Syntaxin 6, N-terminal, Protein of unknown function (DUF2721), TolA binding protein trimerisation
MEF2D DAZAP1|{'COPS5', 'WWOX', 'PKM', 'JUN'}|174|116|Holliday_junction_regulator_protein_family_C-terminal_repeat, Transcription_factor_MADS-box|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), Transcription factor IIA, alpha/beta subunit, SRF-type transcription factor (DNA-binding and dimerisation domain), Holliday junction regulator protein family C-terminal repeat, Uncharacterized protein conserved in bacteria (DUF2076).
MN1 ETV6|{'EP300', 'ETV6'}|5|175|Armadillo-like_helical|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Sterile alpha motif (SAM)/Pointed domain, Furin-like repeat-cysteine-rich.
MSN ALK|{'YWHAZ', 'ERBB2', 'MDM2', 'MAPK8', 'AKT1', 'HSPE1', 'CDK1', 'PTPN6', 'PRKCQ', 'PIK3R1', 'PAK1', 'ATIC', 'FYN', 'FLNA', 'IKBKB', 'MYH9', 'YWHAE', 'PRKCD', 'IQGAP1', 'VAV3', 'IRS2', 'TUBB6', 'ACTB', 'VAV1', 'IGF1R', 'BTK', 'ARRB1', 'LCK', 'MYBPC2', 'EGFR', 'EPHA2', 'MAPK3', 'AFDN', 'CDK2', 'KDR', 'ERBB3', 'JAK1', 'NCK1', 'LIMK1', 'ZAP70', 'SYK', 'PTPN1', 'WAS', 'PTK2', 'VIM', 'PDGFRB', 'PRKCA', 'IRS1', 'SH3BP2', 'PLCG1', 'HSPA5', 'FGR', 'RELA', 'SHC1', 'INSR', 'ROR2', 'NCK2', 'INPPL1', 'FES', 'ACTN4', 'LYN'}|424|368|Band_4.1_domain, Band_4.1_family, Ezrin/radixin/moesin, Ezrin/radixin/moesin_C-terminal, Ezrin/radixin/moesin_family, FERM/acyl-CoA-binding_protein_3-helical_bundle, FERM_C-terminal_PH-like_domain, FERM_central_domain, FERM_conserved_site, FERM_domain, FERM_N-terminal, Moesin, Pleckstrin_homology-type|Concanavalin_A-like_lectin/glucanase, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, MAM_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_receptor_class_II_conserved_site|FERM N-terminal domain, FERM central domain, FERM C-terminal PH-like domain, Bacterial protein of unknown function (DUF883), Ezrin/radixin/moesin family, Protein tyrosine kinase, Outer membrane protein (OmpH-like).
MYB NFIB|{'SMARCC1', 'SKI', 'SMAD1', 'HNF1A', 'ESR1', 'SMARCA2'}|204|37|C-myb_C-terminal, Homeodomain-like, Homeodomain-related, Myb_DNA-binding, Myb_transcription_factor, SANT_domain_DNA_binding, Transcription_regulator_HTH_Myb-type_DNA-binding, Transcription_regulator_Wos2-domain|CTF_transcription_factor/nuclear_factor_1, CTF_transcription_factor/nuclear_factor_1_conserved_site, CTF_transcription_factor/nuclear_factor_1_DNA-binding_domain, CTF_transcription_factor/nuclear_factor_1_N-terminal, MAD_homology_1_Dwarfin-type|Myb-like DNA-binding domain, NADH dehydrogenase 1 alpha subcomplex subunit 3, LMSTEN motif, Myb-like DNA-binding domain, C-myb, C-terminal, CTF/NF-I family transcription modulation region, Protein of unknown function (DUF3383), ESCRT-II complex subunit.
NDE1 PDGFRB|{'AR', 'LATS1', 'BUB1B', 'YWHAG', 'HOXA2', 'MAP3K11', 'SLA', 'TPX2', 'DAB2', 'MAP4', 'CDK1', 'PLK1', 'NEK2'}|182|642|NUDE_protein_C-terminal|Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_CSF-1/PDGF_receptor, Tyrosine-protein_kinase_receptor_class_III_conserved_site, Tyrosine-protein_kinase_vascular_endothelial_growth_factor_receptor_(VEGFR)_N-terminal|TPR/MLP1/MLP2-like protein, cGMP-dependent protein kinase interacting domain, NUDE protein, C-terminal conserved region.
NDRG1 ERG|{'XRCC5', 'CANX', 'HNRNPF', 'CLTC', 'JUP', 'XRCC6', 'CREBBP', 'YWHAE', 'ILF3', 'ACTB', 'HNRNPH1', 'MAPK8', 'AR', 'CDH1', 'EP300', 'DDX5', 'HSP90AA1', 'NCL', 'EZH2', 'HSPA4', 'ERG', 'HNRNPU', 'CTNNB1'}|165|203|Ndr|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Sterile alpha motif (SAM)/Pointed domain, Ets-domain, Poly-adenylate binding protein, unique domain.
NIN PDGFRB|{'AXIN1', 'NEK2', 'PLK4', 'ABI1', 'NDN', 'SUMO1', 'TP53', 'CAMK2D', 'PLK1', 'TPX2', 'TTK', 'PRKACA'}|183|642|EF-hand-like_domain, EF-HAND_2|Immunoglobulin, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_I-set, Immunoglobulin_subtype, Immunoglobulin_subtype_2, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_CSF-1/PDGF_receptor, Tyrosine-protein_kinase_receptor_class_III_conserved_site, Tyrosine-protein_kinase_vascular_endothelial_growth_factor_receptor_(VEGFR)_N-terminal|EF-hand domain, EF-hand domain pair, EF-hand domain pair, JNK-interacting protein leucine zipper II, 	Predicted coiled-coil protein (DUF2205), Centrosome localisation domain of PPC89, Plant protein of unknown function (DUF641), DivIVA protein, Clathrin-binding domain of Huntingtin-interacting protein 1, Septum formation initiator, Rho Binding, Domain of unknown function (DUF4665), Uso1 / p115 like vesicle tethering protein, C terminal region, Central kinetochore-associated, fzo-like conserved region, Centrosomin N-terminal motif 1, FlxA-like protein, BRE1 E3 ubiquitin ligase, Protein of unknown function (DUF342), bZIP transcription factor, TSC-22/dip/bun family, Flagella accessory protein C (FlaC), Homeobox associated leucine zipper, Domain of unknown function (DUF4472), cGMP-dependent protein kinase interacting domain, Organelle biogenesis, Muted-like protein, Protein tyrosine kinase, Procyclic acidic repetitive protein (PARP), Vpu protein, Protein of unknown function (DUF724).
NPM1 ALK|{'EEF1A2', 'IKBKG', 'DNAJA1', 'HSP90AB1', 'KRT18', 'IKBKB', 'CHD3', 'MYH9', 'IRS4', 'RELA', 'SLC25A6', 'HSPD1', 'EGFR', 'ASAP1', 'MDM2', 'EIF4B', 'YWHAE', 'RPS16', 'ALK', 'PIK3R1', 'TUBA3C', 'AR', 'TIMM50', 'SRC', 'RACK1', 'YWHAZ', 'CDC37', 'EIF3A', 'TCP1', 'BCL2', 'MAP3K7', 'AKT1', 'MAP3K1', 'NTRK1', 'SHC1', 'APP', 'STAT1', 'GRB10', 'EP300', 'YWHAG', 'MAP2K4', 'ACTG1', 'BAG2', 'TUBB4A', 'IRAK1', 'MAPK1', 'GHR', 'RAF1', 'ABL1', 'GRB2', 'PTK2', 'ERBB3', 'MAP3K14', 'CASP3', 'HSPA5', 'SLC25A5', 'MPRIP', 'TUBB', 'CDK2', 'CAD', 'ARRB2', 'HSP90AA1', 'RPS27', 'NCL', 'GAB2', 'HDAC1', 'CENPF', 'GRB7', 'MAP3K5', 'ARRB1', 'IRS1', 'ASAP2', 'STK4', 'CHUK', 'RPS27L', 'HSPA8', 'HIST1H4A', 'FLNC', 'ACTB', 'TRIM28', 'DAB2', 'CCT8', 'FLNA', 'KHDRBS1', 'MAP3K3', 'HSPA9', 'KDR', 'FASN', 'PLCG1', 'NPM1', 'LYN', 'STAT3', 'JAK3', 'CCT4', 'VIM', 'CDK1', 'CALM1', 'HSPA1L', 'IQGAP1', 'RPS23', 'PTPN1', 'JAK1', 'TUBB2B', 'PAK1', 'RUVBL2', 'TUBA1A', 'PRKCA', 'PKM'}|925|368|Nucleoplasmin|Concanavalin_A-like_lectin/glucanase, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, MAM_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_receptor_class_II_conserved_site|Nucleoplasmin/nucleophosmin domain, Protein tyrosine kinase.
NPM1 RARA|{'PSMC5', 'TRRAP', 'EPAS1', 'RB1', 'DDX3X', 'SIAH1', 'MALT1', 'HDAC2', 'RUVBL1', 'HNRNPU', 'PIK3R1', 'IKBKG', 'IKBKB', 'SND1', 'MED1', 'NCOR2', 'RPS5', 'RXRA', 'USP7', 'KAT2B', 'NONO', 'CDKN2A', 'SP3', 'HOXA7', 'RPS17', 'NFKB2', 'VIM', 'HCFC1', 'RPSA', 'RPS16', 'E2F1', 'SRC', 'EIF3A', 'SPEN', 'PA2G4', 'ESR2', 'PRKDC', 'RPS6', 'CEBPB', 'HMGA1', 'TGFB1', 'CCND1', 'FOXO1', 'XRCC6', 'EGFR', 'G3BP1', 'SUMO2', 'THRB', 'CDK7', 'SIN3B', 'DDX17', 'ZBTB16', 'SMARCA4', 'SRA1', 'UBR5', 'SUV39H1', 'RPS12', 'MBD3', 'CHUK', 'TAL1', 'PRKCZ', 'STAT1', 'NR4A1', 'RPS25', 'MTA2', 'PARP2', 'SIN3A', 'TOP1', 'DNMT1', 'POLR1A', 'RPS3', 'NPM1', 'HIPK2', 'MBD1', 'YWHAG', 'CCNH', 'SFPQ', 'AR', 'VCP', 'SNW1', 'SQSTM1', 'HIF1A', 'THRAP3', 'TAF9', 'RELA', 'PRKCA', 'TSC2', 'DDX5', 'CREBBP', 'PRMT2', 'SP100', 'VDR', 'GADD45A', 'KAT5', 'YWHAZ', 'PELP1', 'SP1', 'MTA1', 'RC3H1', 'RPL23', 'TBL1XR1', 'CTBP1', 'JUN', 'HNRNPD', 'AKT1', 'SUMO1', 'PIAS1', 'TP53', 'NCOA6', 'EP300', 'MAPK9', 'DDX1', 'SFN', 'NFKB1', 'HDAC10', 'PABPC1', 'FN1', 'PARP1', 'AKT2', 'PLCG2', 'TCF3', 'SMARCC1', 'SIRT1', 'MAPK1', 'KEAP1', 'TRAF6', 'NFKBIA', 'HDAC1', 'XRCC5', 'NR3C1', 'COPS2', 'ESR1', 'HDAC5', 'HSP90AA1', 'TRIM28', 'RELB', 'HDAC3', 'ACTB', 'RPS13', 'TOP2B', 'MAPK10', 'ICAM1', 'BRCA1', 'EED', 'RARA', 'PML', 'CDKN1A', 'SYNCRIP', 'ABL1', 'RPS19', 'NUMA1', 'CSNK2A1', 'MYC', 'TBP', 'MDM2', 'SAP30'}|925|419|Nucleoplasmin|Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Retinoic_acid_receptor, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type|Nucleoplasmin/nucleophosmin domain, Zinc finger, C4 type (two domains), Ligand-binding domain of nuclear hormone receptor.
NUMA1 RARA|{'CDKN1A', 'RPS13', 'CDK6', 'STAT5B', 'SND1', 'HDAC5', 'NPM1', 'AJUBA', 'ZBTB16', 'LATS2', 'AKAP8', 'RARA', 'HSP90AA1', 'SNW1', 'SATB1', 'VCP', 'EZH2', 'BRCA1', 'SUZ12', 'EED', 'ESR1', 'SMARCA4', 'POU5F1', 'NUMA1', 'ERBB2', 'YWHAZ', 'SUMO2', 'NCOA6', 'RUVBL1'}|242|419|Unknown from fpclass database.|Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Retinoic_acid_receptor, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type|Tup N-terminal, TPR/MLP1/MLP2-like protein, Leucine-rich repeats of kinetochore protein Cenp-F/LEK1, Seryl-tRNA synthetase N-terminal domain, Colicin pore forming domain, Domain of unknown function (DUF5082), Protein of unknown function (DUF1664), Reovirus sigma C capsid protein, betaPIX coiled coil, Gammaherpesvirus protein of unknown function (DUF848), Plant protein of unknown function (DUF641), Hyaluronan mediated motility receptor N-terminal, Hepatic lectin, N-terminal domain, GIT coiled-coil Rho guanine nucleotide exchange factor, Domain of unknown function (DUF4200), Autophagy protein Apg6, Protein of unknown function (DUF3450), Protein of unknown function (DUF737), Zinc finger, C4 type (two domains), Ligand-binding domain of nuclear hormone receptor.
PAX3 NCOA1|{'EP300', 'POU2F1', 'NKX2-1', 'EZH2', 'SIRT1', 'TP53', 'HNF1A', 'TBP', 'FOXO1', 'KLF9', 'RB1', 'NCOR1', 'CEBPB', 'DAXX', 'TRIM28', 'SRC', 'MYOD1', 'HDAC1', 'ONECUT1', 'CTNNB1', 'ETS1', 'NR4A1', 'CREBBP', 'AR', 'AIRE', 'MDM2'}|155|287|Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, Paired_box_protein_7, Paired_box_protein_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Domain_of_unknown_function_DUF1518, Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain, Nuclear_receptor_coactivator, Nuclear_receptor_coactivator_interlocking, Nuclear_receptor_coactivator_Ncoa-type_interlocking, Nuclear_receptor_coactivator_Src-1, PAS, PAS_fold, Steroid_receptor_coactivator|'Paired box' domain, Homeobox domain, Nuclear receptor coactivator, Domain of unknown function (DUF1518).
PCM1 RET|{'NTRK1', 'MIB1', 'ERC1', 'MCRS1', 'CCNB1', 'CASK', 'TAOK1', 'PKM', 'PLK3', 'PRKAR2B', 'PAK1', 'MAP1LC3B', 'ABI1', 'DAPK3', 'AURKA'}|300|428|Unknown from fpclass code|Cadherin, Cadherin-like, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_Ret_receptor|Domain of unknown function (DUF4829), V-type ATPase 116kDa subunit family, Hemerythrin HHE cation binding domain, Flagellar hook-associated protein 2 N-terminus, Anti sigma-E protein RseA, C-terminal domain, TPR/MLP1/MLP2-like protein, AAA domain, Importin-beta N-terminal domain, Nucleopolyhedrovirus P10 protein, C4-type zinc-finger of DNA polymerase delta, Pericentriolar material 1 C terminus, Protein tyrosine kinase
PML RARA|{'NFKB2', 'SATB1', 'MDM2', 'SFN', 'ZBTB32', 'CDK4', 'CDK7', 'SP3', 'RFC4', 'PIN1', 'SRA1', 'SNW1', 'TRIM24', 'HSP90AA1', 'UBE3A', 'HIPK2', 'MAPK1', 'FOS', 'TDG', 'TBP', 'PRKCA', 'SIN3A', 'RELB', 'KAT2B', 'CCND3', 'ZNF423', 'HDAC3', 'MAPK8', 'TAL1', 'FOXO1', 'HNRNPU', 'PML', 'RXRA', 'TGFB1', 'CBX5', 'SQSTM1', 'ESR1', 'SUZ12', 'CTBP1', 'CHUK', 'MBD3', 'EZH2', 'CDK6', 'NR2C1', 'EED', 'PIAS1', 'MECP2', 'HDAC10', 'SMARCC1', 'SKI', 'XRCC6', 'PPARG', 'PARP1', 'NCOA2', 'RNF4', 'PA2G4', 'HDAC9', 'TGFBR2', 'NCOR1', 'NR1D1', 'CTNNB1', 'SPI1', 'NRIP1', 'CEBPA', 'CEBPB', 'SUV39H1', 'SFPQ', 'SPEN', 'HMGA1', 'TBL1XR1', 'MYC', 'SAP30', 'HDAC4', 'EGFR', 'IKBKG', 'PPARGC1A', 'NR1I3', 'HCFC1', 'DDX3X', 'TBL1X', 'NCOR2', 'NCOA6', 'PRKCZ', 'NR1H2', 'MTA2', 'AHR', 'FAS', 'SP100', 'DNMT1', 'NR2E3', 'HDAC5', 'STAT1', 'HIF1A', 'PGR', 'MBD1', 'SAP130', 'HDAC7', 'SMARCA4', 'PIAS4', 'NR5A1', 'USP7', 'RARA', 'TCF7L2', 'NCOA3', 'SMAD4', 'SIAH1', 'ABL1', 'SMARCC2', 'CREBBP', 'THRB', 'TP53', 'CSNK2A1', 'SP1', 'NPM1', 'IKBKB', 'NCOA1', 'SIRT1', 'MED1', 'NFKBIA', 'TGIF1', 'THBS1', 'SREBF2', 'RB1', 'RARG', 'ZBTB16', 'GATA1', 'NR3C2', 'E2F2', 'E2F1', 'RELA', 'MYOD1', 'SUMO1', 'NFE2L2', 'NR1H3', 'MTA1', 'TRIM28', 'JUN', 'SRF', 'HDAC2', 'HDAC1', 'AR', 'TOP1', 'SUMO2', 'NFKB1', 'PPARA', 'SMAD3', 'MRTO4', 'FHL2', 'SRC', 'TOP2B', 'TANK', 'BCL6', 'VDR', 'PPARD', 'EP300', 'POU5F1', 'RUNX1', 'KAT5', 'RUNX1T1', 'ARNT', 'NR3C1', 'THRA', 'BRCA1', 'PELP1', 'CBFA2T3', 'PVR', 'SIN3B', 'AKT1', 'NKX2-1', 'CDKN2A', 'CDKN1A', 'GTF2E1', 'EID1', 'NR4A1', 'DNMT3A', 'BCOR', 'ARNTL', 'NR0B2'}|484|419|Protein_of_unknown_function_DUF3583, Zinc_finger_B-box, Zinc_finger_RING-type, Zinc_finger_RING-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type|Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Retinoic_acid_receptor, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type|Prokaryotic RING finger family 4, RING-type zinc-finger, B-box zinc finger, Protein of unknown function (DUF3583), Zinc finger, C4 type (two domains), Ligand-binding domain of nuclear hormone receptor
PRKAR1A RARA|{'PRKCA', 'AKT1', 'ERBB2', 'CHUK', 'MAPK6', 'SYK', 'EGFR', 'PKN1', 'NPM1', 'FHL2', 'CDK4', 'FYN', 'NCOA3', 'NR4A3', 'USF1', 'PRKACA', 'TGFBR2', 'ANP32A', 'RPS17', 'LATS2', 'RFC4', 'XRCC6', 'SMAD3', 'RELA', 'POU5F1', 'YWHAB', 'AKT2', 'LRP1'}|273|419|cAMP-dependent_protein_kinase_regulatory_subunit, cAMP-dependent_protein_kinase_regulatory_subunit_type_I/II_alpha/beta, cAMP/cGMP-dependent_protein_kinase, Cyclic_nucleotide-binding-like, Cyclic_nucleotide-binding_conserved_site, Cyclic_nucleotide-binding_domain, RmlC-like_jelly_roll_fold|Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Retinoic_acid_receptor, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type|Zinc finger, C4 type (two domains), Ligand-binding domain of nuclear hormone receptor, Regulatory subunit of type II PKA R-subunit
PRKAR1A RET|{'AKT1', 'CDK15', 'MAP3K5', 'AURKA', 'BMPR2', 'EPHA2', 'PRKCB', 'TCF21', 'BTK', 'PRKCG', 'CHUK', 'FES', 'PIK3R4', 'ROCK1', 'TNK2', 'MAP1LC3B', 'STRADA', 'CDC42BPA', 'AKT2', 'GRK7', 'WNK1', 'BMPR1A', 'MAP3K4', 'GSK3A', 'PRKAR2B', 'ACVR1', 'BUB1B', 'EGFR', 'LYN', 'PRKCI', 'GRB10', 'GRB2', 'TLK2', 'NRK', 'TULP3', 'ACVR2A', 'PRKAR2A', 'UBC', 'PRKAR1A', 'MAP3K6', 'GRK6', 'MAP2K5', 'FYN', 'BMX', 'CASK', 'TGFBR2', 'PKN1', 'ROCK2', 'TNIK', 'SMAD2', 'AURKC', 'RAF1', 'JAK2', 'SMAD3', 'MEN1', 'ERBB2', 'TTN', 'CAMKK1', 'PRKACG', 'PRKCQ', 'DYRK1B', 'MATK', 'MAP3K9', 'MAP3K1', 'SYK', 'TIE1', 'HIPK3', 'DAPK3', 'PRKACA', 'FLT1', 'TLX2', 'STK24', 'CDH2', 'ACVR2B', 'IGF1R', 'RET', 'HCK', 'TAOK2', 'MCRS1', 'INSR', 'FGFR1', 'ILK', 'PDPK1', 'AKT3', 'TRIB1', 'SHC1'}|273|428|cAMP-dependent_protein_kinase_regulatory_subunit, cAMP-dependent_protein_kinase_regulatory_subunit_type_I/II_alpha/beta, cAMP/cGMP-dependent_protein_kinase, Cyclic_nucleotide-binding-like, Cyclic_nucleotide-binding_conserved_site, Cyclic_nucleotide-binding_domain, RmlC-like_jelly_roll_fold|Cadherin, Cadherin-like, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_Ret_receptor|Regulatory subunit of type II PKA R-subunit, Cyclic nucleotide-binding domain, Protein tyrosine kinase
RBM15 MKL1|{'NXF1', 'MYC', 'NCOR2', 'SRF', 'MYOCD', 'SMARCA4'}|265|38|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Spen_paralogue/orthologue_C-terminal_metazoa, Spen_paralogue_and_orthologue_SPOC_C-terminal, Spen_Paralogue_and_Orthologue_SPOC_C-terminal-like|DNA-binding_SAP, RPEL_repeat|RPEL repeat, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), SPOC domain, SAP domain, FAM76 protein, Troponin I residues 1-32
RUNX1 RUNX1T1|{'CBFA2T3', 'HDAC2', 'CEBPB', 'GATA1', 'NR1H2', 'KLF6', 'E2F1', 'SMARCC2', 'ATN1', 'NR1D1', 'AR', 'HDAC1', 'MAP2', 'SIRT1', 'RB1', 'DNMT1', 'HDAC4', 'BRCA1', 'HIF1A', 'POU2F1', 'SPEN', 'HDAC5', 'NR2E3', 'CREBBP', 'RUNX1T1', 'NCOR1', 'ARNT', 'NFKBIA', 'CEBPA', 'PPARD', 'IKZF1', 'RARA', 'SMARCA4', 'CBFA2T2', 'NCOR2', 'VDR', 'ETS1', 'ESR1', 'RARG', 'TRIM33', 'MAPK11', 'NR3C1', 'RUNX1', 'TBL1X', 'TRIM28', 'EP300', 'STAT3', 'SAP30', 'PPARA', 'SKI', 'PML', 'HDAC7', 'NFKB1', 'SIN3A', 'THRA', 'BCL6', 'RUNX2', 'MECP2', 'TCF12', 'RELA', 'SP1', 'HDAC9', 'ZBTB16', 'SMARCC1', 'CTBP1', 'HDAC3', 'TCF3', 'PPARG', 'TAL1', 'THRB'}|270|156|Acute_myeloid_leukemia_1_(AML_1)/Runt, Acute_myeloid_leukemia_1_protein_(AML_1)/Runt, p53-like_transcription_factor_DNA-binding, p53/RUNT-type_transcription_factor_DNA-binding_domain, Runx_inhibition, Transcription_factor_Runt-related_RUNX|Eight-Twenty-One, Myeloid_transforming_gene_on_chromosome_8_(MTG8), NHR2-like, TAFH/NHR1, Zinc_finger_MYND-type|Runt domain, NHR1 homology to TAF, NHR2 domain like, DNA-K related protein, MYND finger
RUNX1 YTHDF2|{'ESR1', 'FOXP3', 'APP', 'JUN', 'SMAD3', 'ELAVL1', 'RUNX1'}|270|56|Acute_myeloid_leukemia_1_(AML_1)/Runt, Acute_myeloid_leukemia_1_protein_(AML_1)/Runt, p53-like_transcription_factor_DNA-binding, p53/RUNT-type_transcription_factor_DNA-binding_domain, Runx_inhibition, Transcription_factor_Runt-related_RUNX|YTH_domain|Runt domain
SPTBN1 FLT3|{'JAK2', 'NCK2', 'TGFBR1', 'MET', 'GRK3', 'ABL1', 'CAMKK2', 'SMAD7', 'MAP3K9', 'LCP2', 'ALK', 'LIMK1', 'ARHGEF7', 'PTPN6', 'VCAM1', 'TEC', 'PLCG2', 'PLK2', 'PLEK', 'OBSCN', 'PRKCQ', 'MLK4', 'MAP3K3', 'TBK1', 'DOK2', 'PDPK1', 'AKT2', 'PLG', 'BMX', 'SHC3', 'GRB7', 'GRB14', 'ACVR2A', 'SYK', 'NTRK1', 'MAP2K5', 'FGFR2', 'PTK2', 'MAPK1', 'CHUK', 'NCK1', 'SHC1', 'PTPN11', 'SRC', 'GRK5', 'PLCG1', 'ITK', 'EPHA7', 'PTK2B', 'IKBKB', 'TRIO', 'EGFR', 'ACVR1B', 'GRB2', 'PRKCZ', 'MAP3K7', 'SHB', 'EPHB6', 'JAK1', 'CBL', 'PIK3R1', 'MATK', 'PRKACA', 'MAP3K10', 'ROCK2', 'BTK', 'PIK3R2', 'RIPK1', 'NKX3-1', 'TNIK', 'INPP5D', 'SH2B2', 'PAK1', 'AKT1', 'AKT3', 'STAT3', 'HSP90AA1', 'CRK'}
